epoch,train_accuracy,train_loss,val_accuracy,val_loss
1,0.50375,0.6920365649795532,0.5,0.6931532323837281
2,0.49956,0.6931783990478516,0.5,0.6931497156143188
3,0.4988,0.6931746008300781,0.5,0.6931569278717041
4,0.49906,0.693176817855835,0.5,0.6931531726837158
5,0.4969,0.6931776913452149,0.5,0.6931486427307129
6,0.50286,0.6931610099411011,0.5,0.6931586265563965
7,0.49866,0.6931733624267579,0.5,0.693168580532074
8,0.49922,0.6931747893333435,0.5,0.6931475400924683
9,0.49898,0.6931680808639527,0.5,0.6931477487564087
10,0.49842,0.6931827707672119,0.5,0.6931539177894592
