epoch,train_accuracy,train_loss,val_accuracy,val_loss
1,0.73574,0.5289595655584335,0.84405,0.37623499550819395
2,0.85089,0.3692482790660858,0.8641,0.34337405897974965
3,0.87931,0.3093230121040344,0.8996,0.24888736807107925
4,0.89461,0.27603904861211775,0.90255,0.2192529916703701
5,0.90418,0.2547667891037464,0.92015,0.19326814281344415
6,0.91073,0.23867909855604172,0.9286,0.18285406631231307
7,0.91596,0.2250562474691868,0.9237,0.18764200926423072
8,0.92005,0.21551286505818368,0.92875,0.17960659782141447
9,0.92368,0.2072492305600643,0.92855,0.1686706857174635
10,0.92573,0.2007735067856312,0.9331,0.16527503866851329
