epoch,train_accuracy,train_loss,val_accuracy,val_loss
1,0.67667,0.5924784738254547,0.793,0.4582820902824402
2,0.76779,0.4838416143369675,0.7371,0.4941413939595222
3,0.79775,0.41997106033325193,0.85235,0.34020668857097625
4,0.8148,0.38663553659439087,0.84265,0.34925054626464846
5,0.82211,0.3688491919374466,0.87325,0.297419950312376
6,0.83026,0.3520282891345024,0.87265,0.2951214203953743
7,0.83784,0.3378854729962349,0.877,0.2921869434118271
8,0.83889,0.32982930891990664,0.88985,0.2596161581635475
9,0.84385,0.32044730257034304,0.88395,0.2689631839156151
10,0.84777,0.3107852495265007,0.8641,0.3053820229768753
